SeaFood,Poultry,Bakery,Dairy,Fruites,Veggies,State,Donors
0,0,1,0,1,1,WV,Chef's Creations
0,1,1,0,1,0,WI,The Daily Grind
0,0,1,0,1,1,WI,The Daily Grind
0,1,1,0,0,1,UT,Coastal Catch
0,1,1,0,0,0,NJ,Gourmet Wheels
0,1,0,0,1,1,AL,The Grand Grill
1,1,1,1,1,1,RI,The Roost
1,1,1,0,1,1,HI,Flavors of America
1,0,0,0,0,0,OR,Fork & Knife Delights
0,1,1,0,1,1,MA,The Rustic Spoon
1,1,1,1,0,1,AL,The Grand Grill
1,0,1,1,1,1,IL,Urban Eats
0,1,0,0,0,0,WA,Appetite Express
1,1,0,1,1,0,TN,Homestyle Haven
0,1,1,0,0,1,ND,Farm-to-Table Fare
1,1,1,1,1,0,WV,Chef's Creations
1,0,0,0,1,1,WV,Chef's Creations
0,0,1,0,1,0,SD,The Culinary Crossroads
1,1,1,0,1,0,MO,Route 66 Diner
0,1,1,1,1,0,WI,The Daily Grind
1,0,1,1,0,0,AL,The Grand Grill
0,1,0,0,1,1,VT,Bistro Bliss
0,1,0,0,0,0,MS,Neighborhood Nosh
1,0,1,0,1,0,OH,The Flaming Griddle
0,1,1,0,0,1,ND,Farm-to-Table Fare
1,0,1,0,1,0,MN,Hungry Nomad
0,1,1,1,0,1,MO,Route 66 Diner
1,0,1,0,0,1,MO,Route 66 Diner
1,0,1,0,0,0,HI,Flavors of America
0,1,1,0,0,0,ME,Street Food Sensations
0,0,1,0,0,0,PA,Foodie Heaven
1,1,0,0,0,1,LA,Coastal Cravings
1,0,1,0,0,1,AK,Savory Bites Diner
1,0,1,0,1,1,AL,The Grand Grill
1,1,0,1,0,0,OK,Culinary Express
0,0,0,0,1,1,MT,Spice Route Kitchen
1,1,1,0,1,1,FL,Sunshine Diner
0,1,1,0,1,1,SD,The Culinary Crossroads
1,0,1,0,0,1,VT,Bistro Bliss
1,0,1,0,1,0,MI,Palate Pleasers
0,0,1,0,0,0,ND,Farm-to-Table Fare
1,0,1,0,1,1,MS,Neighborhood Nosh
0,0,1,1,0,1,AL,The Grand Grill
1,1,1,1,1,1,SC,Fusion Flavors
0,0,0,1,0,0,WY,Sunrise Breakfast Club
0,1,1,0,1,0,VA,The Sizzling Skillet
0,1,0,0,1,1,HI,Flavors of America
0,1,1,0,0,0,PA,Foodie Heaven
0,0,1,0,0,1,MT,Spice Route Kitchen
1,1,1,1,1,1,VT,Bistro Bliss
0,1,1,0,1,1,SC,Fusion Flavors
1,1,1,1,0,0,HI,Flavors of America
0,1,1,0,1,0,WI,The Daily Grind
1,0,0,0,0,1,CA,Starry Platters
0,1,1,0,0,1,LA,Coastal Cravings
0,1,1,0,1,1,NJ,Gourmet Wheels
0,0,0,1,1,1,RI,The Roost
0,0,0,0,1,0,CA,Starry Platters
1,1,0,0,0,0,MT,Spice Route Kitchen
1,0,0,0,0,0,NJ,Gourmet Wheels
0,0,1,1,1,0,NH,All-American Eats
1,1,0,1,0,0,PA,Foodie Heaven
0,1,1,0,1,1,AL,The Grand Grill
0,0,1,0,0,0,IA,Fireside Grill
