SeaFood,Poultry,Bakery,Dairy,Fruites,Veggies,State,Food_Bank
0,1,1,0,1,1,WV,Johns Chapel Ame
0,0,1,1,1,1,WI,Green Hill Presbyterian Church Food Closet
1,0,1,1,1,0,WI,Green Hill Presbyterian Church Food Closet
1,1,1,0,0,0,UT,Poplar Springs Baptist Church
1,0,0,1,0,0,NJ,Calhoun Baptist Association - Baptist Service Center Northw
0,0,0,1,0,1,AL,Autauga Interfaith Care Center
0,0,0,1,1,1,RI,
0,0,1,0,0,1,HI,Ecumenical Ministries Inc - South Baldwin
0,0,1,1,1,1,OR,Family Care Center - Cherokee County
1,1,1,1,1,1,MA,Faith Community Church
1,0,0,1,0,0,AL,Autauga Interfaith Care Center
1,0,0,0,0,1,IL,FMC Food Bank
0,1,0,0,1,1,WA,Good Samaritan Helping Hands
0,1,1,1,0,0,TN,Hearts (helping Every Area Resident To Succeed)
0,0,1,1,1,1,ND,
0,0,1,1,1,0,WV,Johns Chapel Ame
1,1,1,1,0,0,WV,Johns Chapel Ame
1,1,1,1,0,1,SD,Catholic Social Services - Clarke County
0,1,1,0,0,0,MO,Calhoun Baptist Association - Baptist Service Center South
1,1,0,1,0,1,WI,Green Hill Presbyterian Church Food Closet
1,1,1,1,1,1,AL,Autauga Interfaith Care Center
1,0,1,1,1,1,VT,Human Resource Development Corporation - Elba Hrdc
1,1,0,0,0,0,MS,Joseph Ministries
1,1,1,0,0,1,OH,Circle of Care Center For Families
1,0,0,1,0,0,ND,
1,1,1,1,0,1,MN,Bullock County Food Pantry
1,0,1,0,0,0,MO,Calhoun Baptist Association - Baptist Service Center South
0,1,1,1,0,1,MO,Calhoun Baptist Association - Baptist Service Center South
0,0,1,1,0,0,HI,Ecumenical Ministries Inc - South Baldwin
0,0,1,0,1,0,ME,Mountain Pointe Minstries Church of God
0,1,1,0,1,1,PA,"Chilton County Emergency Assistance Center, Inc"
0,0,1,0,1,0,LA,Hope House - Oneonta
1,1,1,1,1,1,AK,Prattville Church of Christ
0,0,1,0,0,0,AL,Autauga Interfaith Care Center
1,0,1,1,0,0,OK,Cherokee County Crisis Center
0,0,1,0,0,0,MT,All Saints Interfaith Center of Concern
0,1,1,1,0,0,FL,Ecumenical Ministries Inc - Eastern Shore
0,0,1,0,1,1,SD,Catholic Social Services - Clarke County
1,0,0,1,1,0,VT,Human Resource Development Corporation - Elba Hrdc
0,0,1,1,0,1,MI,First Missionary Baptist Church
0,1,0,1,1,1,ND,
0,0,1,0,0,0,MS,Joseph Ministries
0,0,0,0,0,0,AL,Autauga Interfaith Care Center
0,1,1,1,1,1,SC,Community Action Agency - Clarke County
0,0,1,1,0,1,WY,Christian Mission Centers
1,1,1,1,1,1,VA,College Avenue Church of Christ
1,0,0,1,0,1,HI,Ecumenical Ministries Inc - South Baldwin
0,0,1,1,1,1,PA,"Chilton County Emergency Assistance Center, Inc"
0,0,0,1,1,1,MT,All Saints Interfaith Center of Concern
1,0,1,1,0,0,VT,Human Resource Development Corporation - Elba Hrdc
1,0,0,1,0,1,SC,Community Action Agency - Clarke County
0,0,1,0,1,0,HI,Ecumenical Ministries Inc - South Baldwin
1,1,1,1,1,0,WI,Green Hill Presbyterian Church Food Closet
0,0,1,1,0,1,CA,Prodisee Pantry
1,0,0,1,1,1,LA,Hope House - Oneonta
1,0,1,0,0,1,NJ,Calhoun Baptist Association - Baptist Service Center Northw
1,0,0,0,1,1,RI,
1,1,1,1,1,1,CA,Prodisee Pantry
0,0,1,1,1,1,MT,All Saints Interfaith Center of Concern
0,0,0,1,0,1,NJ,Calhoun Baptist Association - Baptist Service Center Northw
0,1,1,0,0,1,NH,Community Enabler
0,0,0,0,0,1,PA,"Chilton County Emergency Assistance Center, Inc"
0,0,1,0,0,0,AL,Autauga Interfaith Care Center
1,0,0,0,0,0,IA,Clearing House of Barbour County
0,0,0,0,1,0,AR,North Baldwin Ecumenical Association
0,1,1,1,0,0,WY,Christian Mission Centers
1,1,1,0,0,0,OH,Circle of Care Center For Families
1,1,0,0,0,0,NY,Jacksonville Community Chest
1,0,1,1,1,0,MA,Faith Community Church
0,1,1,1,1,1,WV,Johns Chapel Ame
1,0,1,0,0,1,GA,Christian Service Center
1,0,1,0,0,1,TN,Hearts (helping Every Area Resident To Succeed)
1,1,1,1,1,1,AR,North Baldwin Ecumenical Association
1,0,0,1,0,0,KY,Human Resource Development Corporation - Eufaula Hrdc
1,0,1,0,1,1,MA,Faith Community Church
1,1,1,1,1,0,RI,
1,0,1,0,1,1,HI,Ecumenical Ministries Inc - South Baldwin
1,0,1,1,1,0,OR,Family Care Center - Cherokee County
0,0,1,1,1,1,VT,Human Resource Development Corporation - Elba Hrdc
1,0,0,1,0,1,CT,Ransom Ministries Daphne
0,1,1,0,0,1,CT,Ransom Ministries Daphne
1,0,1,1,1,1,SC,Community Action Agency - Clarke County
1,1,1,1,0,0,SD,Catholic Social Services - Clarke County
0,0,0,1,1,1,CA,Prodisee Pantry
0,0,0,0,1,0,FL,Ecumenical Ministries Inc - Eastern Shore
0,0,0,1,1,0,DE,Catholic Social Services - Robertsdale
0,0,1,1,0,1,CO,Community Action Agency of Baldwin
1,0,1,1,1,0,WA,Good Samaritan Helping Hands
1,0,1,0,1,1,WI,Green Hill Presbyterian Church Food Closet
1,1,0,0,0,0,IA,Clearing House of Barbour County
0,0,1,0,0,1,ID,Human Resource Development Corporation - Clayton Hrdc
1,0,1,1,1,1,NJ,Calhoun Baptist Association - Baptist Service Center Northw
1,0,1,1,1,1,LA,Hope House - Oneonta
1,0,1,1,1,1,OK,Cherokee County Crisis Center
1,0,1,0,0,1,AZ,Catholic Social Services - Baldwin
1,0,1,0,0,0,NV,Salvation Army
1,0,1,0,0,0,IA,Clearing House of Barbour County
1,1,1,1,1,1,PA,"Chilton County Emergency Assistance Center, Inc"
1,0,1,0,1,0,NE,Salvation Army of Marshall County
1,0,1,1,1,1,WA,Good Samaritan Helping Hands
1,1,1,0,0,0,KY,Human Resource Development Corporation - Eufaula Hrdc
1,0,1,0,1,1,ID,Human Resource Development Corporation - Clayton Hrdc
0,0,1,1,0,1,MI,First Missionary Baptist Church
1,1,1,0,0,0,TN,Hearts (helping Every Area Resident To Succeed)
0,0,1,1,0,0,NJ,Calhoun Baptist Association - Baptist Service Center Northw
1,0,0,0,1,1,FL,Ecumenical Ministries Inc - Eastern Shore
0,0,1,0,1,1,ID,Human Resource Development Corporation - Clayton Hrdc
0,0,0,0,0,1,CO,Community Action Agency of Baldwin
1,0,0,0,0,0,IL,FMC Food Bank
1,0,0,0,1,0,NM,Jacksonville Christian Outreach Center
1,0,0,1,0,1,HI,Ecumenical Ministries Inc - South Baldwin
1,0,0,1,0,1,ME,Mountain Pointe Minstries Church of God
0,0,0,1,1,0,NE,Salvation Army of Marshall County
1,0,0,1,1,1,OK,Cherokee County Crisis Center
0,1,0,0,0,0,MA,Faith Community Church
0,1,1,1,0,0,OK,Cherokee County Crisis Center
0,0,0,0,1,0,IL,FMC Food Bank
0,1,1,0,1,1,VT,Human Resource Development Corporation - Elba Hrdc
1,0,1,1,0,0,AZ,Catholic Social Services - Baldwin
1,0,0,1,1,0,MN,Bullock County Food Pantry
1,0,1,1,0,1,NC,Piedmont Benevolence Center
0,0,1,0,1,1,CO,Community Action Agency of Baldwin
0,0,0,0,1,0,AK,Prattville Church of Christ
0,1,1,0,0,1,SC,Community Action Agency - Clarke County
1,0,1,0,1,1,TX,
0,1,1,0,0,1,WY,Christian Mission Centers
1,0,0,0,1,0,WA,Good Samaritan Helping Hands
0,0,1,0,1,1,AR,North Baldwin Ecumenical Association
1,0,0,1,0,0,KY,Human Resource Development Corporation - Eufaula Hrdc
1,0,0,1,0,0,ME,Mountain Pointe Minstries Church of God
1,0,0,1,1,0,NE,Salvation Army of Marshall County
1,0,0,0,1,1,NY,Jacksonville Community Chest
0,0,1,0,0,0,AR,North Baldwin Ecumenical Association
1,0,1,0,1,1,ME,Mountain Pointe Minstries Church of God
1,0,0,0,0,1,IN,White Oak United Methodist Church
1,1,1,1,0,0,PA,"Chilton County Emergency Assistance Center, Inc"
1,0,0,0,1,1,MO,Calhoun Baptist Association - Baptist Service Center South
1,1,1,0,0,0,WY,Christian Mission Centers
0,1,0,0,1,0,SD,Catholic Social Services - Clarke County
0,0,0,0,1,0,NC,Piedmont Benevolence Center
0,1,1,0,1,0,NV,Salvation Army
1,1,1,1,1,1,IL,FMC Food Bank
1,1,1,1,1,1,NC,Piedmont Benevolence Center
0,0,1,0,0,1,NE,Salvation Army of Marshall County
0,0,1,1,0,1,FL,Ecumenical Ministries Inc - Eastern Shore
0,0,1,0,0,1,NV,Salvation Army
0,0,1,1,1,0,NM,Jacksonville Christian Outreach Center
0,0,0,0,0,0,CA,Prodisee Pantry
1,0,1,1,1,1,NM,Jacksonville Christian Outreach Center
1,0,0,1,1,0,MI,First Missionary Baptist Church
0,1,1,1,1,1,LA,Hope House - Oneonta
1,0,1,0,0,0,OH,Circle of Care Center For Families
1,0,1,1,0,0,KS,Grace Independent Baptist
1,0,0,1,1,1,WV,Johns Chapel Ame
1,1,1,0,0,0,RI,
1,0,1,0,0,0,IN,White Oak United Methodist Church
1,1,1,0,1,0,UT,Poplar Springs Baptist Church
1,0,0,1,0,1,IN,White Oak United Methodist Church
1,0,1,0,0,0,CO,Community Action Agency of Baldwin
0,0,1,1,1,0,AZ,Catholic Social Services - Baldwin
0,0,0,0,0,0,NM,Jacksonville Christian Outreach Center
0,0,0,1,0,0,CT,Ransom Ministries Daphne
0,0,0,1,1,1,WV,Johns Chapel Ame
1,0,0,1,0,1,OR,Family Care Center - Cherokee County
1,1,1,0,0,0,VA,College Avenue Church of Christ
0,1,1,1,0,0,ID,Human Resource Development Corporation - Clayton Hrdc
1,0,0,1,0,0,AL,Autauga Interfaith Care Center
1,1,1,0,0,0,NC,Piedmont Benevolence Center
0,0,0,0,0,1,NY,Jacksonville Community Chest
1,1,1,0,0,0,MT,All Saints Interfaith Center of Concern
0,0,0,1,0,0,NV,Salvation Army
1,0,1,0,1,0,IL,FMC Food Bank
1,1,1,1,1,0,OK,Cherokee County Crisis Center
0,1,1,0,1,0,WI,Green Hill Presbyterian Church Food Closet
1,1,1,1,0,0,OK,Cherokee County Crisis Center
0,1,0,1,1,1,MS,Joseph Ministries
0,0,0,1,1,1,WA,Good Samaritan Helping Hands
1,0,1,0,0,0,CO,Community Action Agency of Baldwin
0,0,1,0,0,0,AK,Prattville Church of Christ
0,0,0,0,0,1,AR,North Baldwin Ecumenical Association
1,1,1,0,0,1,PA,"Chilton County Emergency Assistance Center, Inc"
1,0,1,0,0,0,MD,Hispanic Church of God Christ Is Coming
1,0,1,1,0,1,UT,Poplar Springs Baptist Church
1,0,1,0,1,0,NC,Piedmont Benevolence Center
0,0,1,1,0,0,NC,Piedmont Benevolence Center
0,0,1,0,1,1,ND,
1,0,1,1,0,1,IA,Clearing House of Barbour County
0,0,0,1,1,1,CT,Ransom Ministries Daphne
1,1,1,1,0,1,IA,Clearing House of Barbour County
0,0,1,0,1,1,HI,Ecumenical Ministries Inc - South Baldwin
1,0,0,0,1,1,CA,Prodisee Pantry
1,1,1,0,0,1,UT,Poplar Springs Baptist Church
1,0,0,0,0,1,NJ,Calhoun Baptist Association - Baptist Service Center Northw
0,0,1,0,1,0,MS,Joseph Ministries
1,0,1,0,1,0,MI,First Missionary Baptist Church
1,0,1,1,1,1,MA,Faith Community Church
0,0,1,1,0,1,VA,College Avenue Church of Christ
1,1,1,1,1,1,PA,"Chilton County Emergency Assistance Center, Inc"
0,0,1,0,0,0,CT,Ransom Ministries Daphne
1,0,0,1,1,1,KY,Human Resource Development Corporation - Eufaula Hrdc
0,0,1,1,1,1,WI,Green Hill Presbyterian Church Food Closet
1,0,0,0,0,1,IA,Clearing House of Barbour County
1,0,0,0,0,0,NY,Jacksonville Community Chest
0,0,0,0,1,1,IN,White Oak United Methodist Church
0,0,0,0,0,1,GA,Christian Service Center
1,0,1,0,0,1,ND,
0,0,1,1,0,0,HI,Ecumenical Ministries Inc - South Baldwin
0,0,1,1,1,1,MD,Hispanic Church of God Christ Is Coming
1,0,1,1,0,1,OH,Circle of Care Center For Families
0,0,1,1,0,1,MS,Joseph Ministries
1,1,1,1,1,1,KS,Grace Independent Baptist
1,0,1,0,1,1,ME,Mountain Pointe Minstries Church of God
0,0,1,0,0,0,AR,North Baldwin Ecumenical Association
0,0,0,1,1,1,TN,Hearts (helping Every Area Resident To Succeed)
1,1,1,0,0,0,MA,Faith Community Church
1,1,0,0,1,0,ND,
0,1,1,0,1,0,ND,
1,0,0,1,0,1,MO,Calhoun Baptist Association - Baptist Service Center South
0,0,1,0,0,1,NC,Piedmont Benevolence Center
1,0,1,0,1,1,SD,Catholic Social Services - Clarke County
1,0,1,0,1,0,DE,Catholic Social Services - Robertsdale
0,0,1,1,0,1,MI,First Missionary Baptist Church
0,1,1,0,0,1,PA,"Chilton County Emergency Assistance Center, Inc"
1,1,1,1,1,0,TX,
1,1,1,1,1,1,DE,Catholic Social Services - Robertsdale
1,0,1,1,0,1,OR,Family Care Center - Cherokee County
0,0,0,0,1,0,CO,Community Action Agency of Baldwin
1,0,1,1,1,0,MS,Joseph Ministries
0,0,1,0,1,0,MT,All Saints Interfaith Center of Concern
0,0,0,1,0,0,AR,North Baldwin Ecumenical Association
1,1,1,0,1,1,TN,Hearts (helping Every Area Resident To Succeed)
1,0,0,0,0,1,NM,Jacksonville Christian Outreach Center
0,1,1,1,0,1,VA,College Avenue Church of Christ
0,1,1,1,0,0,LA,Hope House - Oneonta
1,0,1,1,1,0,LA,Hope House - Oneonta
1,1,0,1,0,1,PA,"Chilton County Emergency Assistance Center, Inc"
0,0,1,1,0,1,IN,White Oak United Methodist Church
1,1,1,1,1,0,WY,Christian Mission Centers
0,0,1,0,1,0,NY,Jacksonville Community Chest
1,0,1,1,1,0,MD,Hispanic Church of God Christ Is Coming
0,0,1,0,0,1,AK,Prattville Church of Christ
0,0,1,0,1,0,AZ,Catholic Social Services - Baldwin
1,1,0,0,0,1,NE,Salvation Army of Marshall County
1,0,1,0,0,1,RI,
1,0,0,1,0,1,TX,
0,0,0,0,0,0,AZ,Catholic Social Services - Baldwin
0,0,0,1,0,0,IL,FMC Food Bank
1,0,1,0,0,1,OR,Family Care Center - Cherokee County
0,0,1,0,0,1,CT,Ransom Ministries Daphne
1,0,1,1,0,1,NV,Salvation Army
0,1,1,1,0,0,OR,Family Care Center - Cherokee County
